,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
40,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",0,food was average and creme brulee was awful - the sugar was charred  not caramelized and smelled of kerosene,"['food', 'was', 'average', 'and', 'creme', 'brulee', 'was', 'awful', '-', 'the', 'sugar', 'was', 'charred', 'not', 'caramelized', 'and', 'smelled', 'of', 'kerosene']",food average and creme brulee awful - sugar charred not caramelized and smelled kerosene,food average and creme brulee awful - sugar charred not caramelized and smelled kerosene
41,My entire family was horrified.,0,my entire family was horrified,"['my', 'entire', 'family', 'was', 'horrified']",entire family horrified,entire family horrified
42,"but they have forgotten about the most important part of a restaurant, the food.",0,but they have forgotten about the most important part of a restaurant  the food,"['but', 'they', 'have', 'forgotten', 'about', 'the', 'most', 'important', 'part', 'of', 'a', 'restaurant', 'the', 'food']",but forgotten important part restaurant food,but forgotten important part restaurant food
43,This should have been done in a back room - away from customers.,0,this should have been done in a back room - away from customers,"['this', 'should', 'have', 'been', 'done', 'in', 'a', 'back', 'room', '-', 'away', 'from', 'customers']",should done back room - away customer,should done back room - away customer
44,Glad you have the luxury to throw out paying customers.,0,glad you have the luxury to throw out paying customers,"['glad', 'you', 'have', 'the', 'luxury', 'to', 'throw', 'out', 'paying', 'customers']",glad luxury throw paying customer,glad luxury throw paying customer
45,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",0,first off  the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong,"['first', 'off', 'the', 'waitress', 'was', 'completely', 'unattentive', 'the', '2', 'times', 'we', 'saw', 'her(odd', 'in', 'a', 'restaurant', 'with', '6', 'tables)', 'and', 'got', 'our', 'order', 'wrong']",first waitress completely unattentive 2 time saw her(odd restaurant 6 tables) and got order wrong,first waitress completely unattentive 2 time saw her(odd restaurant 6 tables) and got order wrong
46,Don't go.,0,don't go,"[""don't"", 'go']",not go,not go
47,The food was bland oily.,0,the food was bland oily,"['the', 'food', 'was', 'bland', 'oily']",food bland oily,food bland oily
48,The fried platter was more greasy,0,the fried platter was more greasy,"['the', 'fried', 'platter', 'was', 'more', 'greasy']",fried platter greasy,fried platter greasy
49,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,0,look i dont know if the people who wrote the reviews have ever been to a decent place (please try someother places),"['look', 'i', 'dont', 'know', 'if', 'the', 'people', 'who', 'wrote', 'the', 'reviews', 'have', 'ever', 'been', 'to', 'a', 'decent', 'place', '(please', 'try', 'someother', 'places)']",look dont know people wrote review ever decent place (please try someother places),look dont know people wrote review ever decent place (please try someother places)
50,Went with mommy (the only person who could afford taking me here).,0,went with mommy (the only person who could afford taking me here),"['went', 'with', 'mommy', '(the', 'only', 'person', 'who', 'could', 'afford', 'taking', 'me', 'here)']",went mommy (the person could afford taking here),went mommy (the person could afford taking here)
51,"Last time I went here, the waitress didn't come back after taking our order.",0,last time i went here  the waitress didn't come back after taking our order,"['last', 'time', 'i', 'went', 'here', 'the', 'waitress', ""didn't"", 'come', 'back', 'after', 'taking', 'our', 'order']",last time went waitress not come back taking order,last time went waitress not come back taking order
52,"I am completely hooked on this place, it is ridiculous.",0,i am completely hooked on this place  it is ridiculous,"['i', 'am', 'completely', 'hooked', 'on', 'this', 'place', 'it', 'is', 'ridiculous']",completely hooked place ridiculous,completely hooked place ridiculous
53,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",0,eating in  the atmosphere saves it  but at your desk  it's a very disappointing experience,"['eating', 'in', 'the', 'atmosphere', 'saves', 'it', 'but', 'at', 'your', 'desk', ""it's"", 'a', 'very', 'disappointing', 'experience']",eating atmosphere save but desk very disappointing experience,eating atmosphere save but desk very disappointing experience
54,We weren't!,0,we weren't,"['we', ""weren't""]",not,not
55,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,0,(la rosa is connected by a swinging door to the mexican restaurant pacifico),"['(la', 'rosa', 'is', 'connected', 'by', 'a', 'swinging', 'door', 'to', 'the', 'mexican', 'restaurant', 'pacifico)']",(la rosa connected swinging door mexican restaurant pacifico),(la rosa connected swinging door mexican restaurant pacifico)
56,It could have been handled better.,0,it could have been handled better,"['it', 'could', 'have', 'been', 'handled', 'better']",could handled better,could handled better
57,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",0,the environment is romantic  but the food is horrible  the service is pathetic  and gabriella lies about everything she could,"['the', 'environment', 'is', 'romantic', 'but', 'the', 'food', 'is', 'horrible', 'the', 'service', 'is', 'pathetic', 'and', 'gabriella', 'lies', 'about', 'everything', 'she', 'could']",environment romantic but food horrible service pathetic and gabriella lie everything could,environment romantic but food horrible service pathetic and gabriella lie everything could
58,What came to our table was burned beyond recognition and stringy.,0,what came to our table was burned beyond recognition and stringy,"['what', 'came', 'to', 'our', 'table', 'was', 'burned', 'beyond', 'recognition', 'and', 'stringy']",came table burned beyond recognition and stringy,came table burned beyond recognition and stringy
59,I had the Pad Thai and the noodles were sticky.,0,i had the pad thai and the noodles were sticky,"['i', 'had', 'the', 'pad', 'thai', 'and', 'the', 'noodles', 'were', 'sticky']",pad thai and noodle sticky,pad thai and noodle sticky
60,The hostess is rude to the point of being offensive.,0,the hostess is rude to the point of being offensive,"['the', 'hostess', 'is', 'rude', 'to', 'the', 'point', 'of', 'being', 'offensive']",hostess rude point offensive,hostess rude point offensive
61,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",0,a narrow corridor leads to a tiny space where there are three tiny white tiled counters  a great deal of mess (stacks of bottles  cans) and a small counter holding 12-14 entrees,"['a', 'narrow', 'corridor', 'leads', 'to', 'a', 'tiny', 'space', 'where', 'there', 'are', 'three', 'tiny', 'white', 'tiled', 'counters', 'a', 'great', 'deal', 'of', 'mess', '(stacks', 'of', 'bottles', 'cans)', 'and', 'a', 'small', 'counter', 'holding', '12-14', 'entrees']",narrow corridor lead tiny space three tiny white tiled counter great deal mess (stacks bottle cans) and small counter holding 12-14 entree,narrow corridor lead tiny space three tiny white tiled counter great deal mess (stacks bottle cans) and small counter holding 12-14 entree
62,would have rather tried terrace in the sky or water club for that price,0,would have rather tried terrace in the sky or water club for that price,"['would', 'have', 'rather', 'tried', 'terrace', 'in', 'the', 'sky', 'or', 'water', 'club', 'for', 'that', 'price']",would rather tried terrace sky water club price,would rather tried terrace sky water club price
63,Okay service.,0,okay service,"['okay', 'service']",okay service,okay service
64,"The food was just awful, ATROCIOUS actually.",0,the food was just awful  atrocious actually,"['the', 'food', 'was', 'just', 'awful', 'atrocious', 'actually']",food awful atrocious actually,food awful atrocious actually
65,I will never visit this restaurant again.,0,i will never visit this restaurant again,"['i', 'will', 'never', 'visit', 'this', 'restaurant', 'again']",never visit restaurant,never visit restaurant
66,Don't go there!,0,don't go there,"[""don't"", 'go', 'there']",not go,not go
67,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",0,ok  so the servers wander around a little clueless  but there's more than enough servers for the crowd they get -- it's fine  you just have to make a small effort to get their attention,"['ok', 'so', 'the', 'servers', 'wander', 'around', 'a', 'little', 'clueless', 'but', ""there's"", 'more', 'than', 'enough', 'servers', 'for', 'the', 'crowd', 'they', 'get', '--', ""it's"", 'fine', 'you', 'just', 'have', 'to', 'make', 'a', 'small', 'effort', 'to', 'get', 'their', 'attention']",ok server wander around little clueless but enough server crowd get -- fine make small effort get attention,ok server wander around little clueless but enough server crowd get -- fine make small effort get attention
68,Good luck getting a table.,0,good luck getting a table,"['good', 'luck', 'getting', 'a', 'table']",good luck getting table,good luck getting table
69,The service is awful.,0,the service is awful,"['the', 'service', 'is', 'awful']",service awful,service awful
70,Just ignore the trendy wannabes.,0,just ignore the trendy wannabes,"['just', 'ignore', 'the', 'trendy', 'wannabes']",ignore trendy wannabe,ignore trendy wannabe
71,Amma has the worst value for money I have experienced in NYC over the past 2 years.,0,amma has the worst value for money i have experienced in nyc over the past 2 years,"['amma', 'has', 'the', 'worst', 'value', 'for', 'money', 'i', 'have', 'experienced', 'in', 'nyc', 'over', 'the', 'past', '2', 'years']",amma worst value money experienced nyc past 2 year,amma worst value money experienced nyc past 2 year
72,I think this would be a pretty good spot if it were not so overpriced and overrated.,0,i think this would be a pretty good spot if it were not so overpriced and overrated,"['i', 'think', 'this', 'would', 'be', 'a', 'pretty', 'good', 'spot', 'if', 'it', 'were', 'not', 'so', 'overpriced', 'and', 'overrated']",think would pretty good spot not overpriced and overrated,think would pretty good spot not overpriced and overrated
73,The place would be better if the staff were changed,0,the place would be better if the staff were changed,"['the', 'place', 'would', 'be', 'better', 'if', 'the', 'staff', 'were', 'changed']",place would better staff changed,place would better staff changed
74,Walk-ins are risky too.,0,walk-ins are risky too,"['walk-ins', 'are', 'risky', 'too']",walk-in risky,walk-in risky
75,They didn't give us the dinner special until we asked for it.,0,they didn't give us the dinner special until we asked for it,"['they', ""didn't"", 'give', 'us', 'the', 'dinner', 'special', 'until', 'we', 'asked', 'for', 'it']",not give u dinner special asked,not give u dinner special asked
76,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",0,the most annoying thing  though  is the fact that the servers seem to be trained to drive revenue,"['the', 'most', 'annoying', 'thing', 'though', 'is', 'the', 'fact', 'that', 'the', 'servers', 'seem', 'to', 'be', 'trained', 'to', 'drive', 'revenue']",annoying thing though fact server seem trained drive revenue,annoying thing though fact server seem trained drive revenue
77,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",0,we were still sitting at the bar while we drank the sangria  but facing away from the bar when we turned back around  the $2 was gone the people next to us said the bartender took it,"['we', 'were', 'still', 'sitting', 'at', 'the', 'bar', 'while', 'we', 'drank', 'the', 'sangria', 'but', 'facing', 'away', 'from', 'the', 'bar', 'when', 'we', 'turned', 'back', 'around', 'the', '$2', 'was', 'gone', 'the', 'people', 'next', 'to', 'us', 'said', 'the', 'bartender', 'took', 'it']",still sitting bar drank sangria but facing away bar turned back around $2 gone people next u said bartender took,still sitting bar drank sangria but facing away bar turned back around $2 gone people next u said bartender took
78,This has got to be one of the most overrated restaurants in Brooklyn.,0,this has got to be one of the most overrated restaurants in brooklyn,"['this', 'has', 'got', 'to', 'be', 'one', 'of', 'the', 'most', 'overrated', 'restaurants', 'in', 'brooklyn']",got one overrated restaurant brooklyn,got one overrated restaurant brooklyn
79,"Went there last night for 2 year anniversery, and wasn't all that impressed.",0,went there last night for 2 year anniversery  and wasn't all that impressed,"['went', 'there', 'last', 'night', 'for', '2', 'year', 'anniversery', 'and', ""wasn't"", 'all', 'that', 'impressed']",went last night 2 year anniversery and not impressed,went last night 2 year anniversery and not impressed
80,It was rather pathetic that it took them over an hour to seat us.,0,it was rather pathetic that it took them over an hour to seat us,"['it', 'was', 'rather', 'pathetic', 'that', 'it', 'took', 'them', 'over', 'an', 'hour', 'to', 'seat', 'us']",rather pathetic took hour seat u,rather pathetic took hour seat u
81,"We were seated promptly as we had reservations, however after that the service was slow.",0,we were seated promptly as we had reservations  however after that the service was slow,"['we', 'were', 'seated', 'promptly', 'as', 'we', 'had', 'reservations', 'however', 'after', 'that', 'the', 'service', 'was', 'slow']",seated promptly reservation however service slow,seated promptly reservation however service slow
82,At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,0,at first i was slightly skeptical because it was a sushi restaurant in the middle of nyc,"['at', 'first', 'i', 'was', 'slightly', 'skeptical', 'because', 'it', 'was', 'a', 'sushi', 'restaurant', 'in', 'the', 'middle', 'of', 'nyc']",first slightly skeptical sushi restaurant middle nyc,first slightly skeptical sushi restaurant middle nyc
83,"However, it's not worth a special trip.",0,however  it's not worth a special trip,"['however', ""it's"", 'not', 'worth', 'a', 'special', 'trip']",however not worth special trip,however not worth special trip
84,"But, nothing stands out about the cooking.",0,but  nothing stands out about the cooking,"['but', 'nothing', 'stands', 'out', 'about', 'the', 'cooking']",but nothing stand cooking,but nothing stand cooking
85,"If that's a problem, go to McDonald's and destroy your insides.",0,if that's a problem  go to mcdonald's and destroy your insides,"['if', ""that's"", 'a', 'problem', 'go', 'to', ""mcdonald's"", 'and', 'destroy', 'your', 'insides']",problem go mcdonald's and destroy inside,problem go mcdonald's and destroy inside
86,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",0,i had their eggs benedict for brunch  which were the worst in my entire life  i tried removing the hollondaise sauce completely that was how failed it was,"['i', 'had', 'their', 'eggs', 'benedict', 'for', 'brunch', 'which', 'were', 'the', 'worst', 'in', 'my', 'entire', 'life', 'i', 'tried', 'removing', 'the', 'hollondaise', 'sauce', 'completely', 'that', 'was', 'how', 'failed', 'it', 'was']",egg benedict brunch worst entire life tried removing hollondaise sauce completely failed,egg benedict brunch worst entire life tried removing hollondaise sauce completely failed
87,Too bad the food wasn't of the same heritage.,0,too bad the food wasn't of the same heritage,"['too', 'bad', 'the', 'food', ""wasn't"", 'of', 'the', 'same', 'heritage']",bad food not heritage,bad food not heritage
88,I'm not picky - but it was actually gross.,0,i'm not picky - but it was actually gross,"[""i'm"", 'not', 'picky', '-', 'but', 'it', 'was', 'actually', 'gross']",I not picky - but actually gross,I not picky - but actually gross
89,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",0,when he finally did  he was unable to make a gin and tonic -- couldn't find tonic,"['when', 'he', 'finally', 'did', 'he', 'was', 'unable', 'to', 'make', 'a', 'gin', 'and', 'tonic', '--', ""couldn't"", 'find', 'tonic']",finally unable make gin and tonic -- could not find tonic,finally unable make gin and tonic -- could not find tonic
90,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",0,the dim sum is ok but doesn't taste that fresh  and the little dishes don't look steamy hot as they should (also note lack of chinese here),"['the', 'dim', 'sum', 'is', 'ok', 'but', ""doesn't"", 'taste', 'that', 'fresh', 'and', 'the', 'little', 'dishes', ""don't"", 'look', 'steamy', 'hot', 'as', 'they', 'should', '(also', 'note', 'lack', 'of', 'chinese', 'here)']",dim sum ok but not taste fresh and little dish not look steamy hot should (also note lack chinese here),dim sum ok but not taste fresh and little dish not look steamy hot should (also note lack chinese here)
91,despite the untasteful previous review...,0,despite the untasteful previous review,"['despite', 'the', 'untasteful', 'previous', 'review']",despite untasteful previous review,despite untasteful previous review
92,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",0,don't judge this place prima facie  you have to try it to believe it  a home away from home for the literate heart,"[""don't"", 'judge', 'this', 'place', 'prima', 'facie', 'you', 'have', 'to', 'try', 'it', 'to', 'believe', 'it', 'a', 'home', 'away', 'from', 'home', 'for', 'the', 'literate', 'heart']",not judge place prima facie try believe home away home literate heart,not judge place prima facie try believe home away home literate heart
93,Also they were $15 each very pricey,0,also they were $15 each very pricey,"['also', 'they', 'were', '$15', 'each', 'very', 'pricey']",also $15 very pricey,also $15 very pricey
94,If you want good authentic Thai this place is not the place to go.,0,if you want good authentic thai this place is not the place to go,"['if', 'you', 'want', 'good', 'authentic', 'thai', 'this', 'place', 'is', 'not', 'the', 'place', 'to', 'go']",want good authentic thai place not place go,want good authentic thai place not place go
95,If you want good authentic food this place is not the place to go.,0,if you want good authentic food this place is not the place to go,"['if', 'you', 'want', 'good', 'authentic', 'food', 'this', 'place', 'is', 'not', 'the', 'place', 'to', 'go']",want good authentic food place not place go,want good authentic food place not place go
96,Somewhat pricey but what the heck.,0,somewhat pricey but what the heck,"['somewhat', 'pricey', 'but', 'what', 'the', 'heck']",somewhat pricey but heck,somewhat pricey but heck
97,"It's true, this place is not cheap.",0,it's true  this place is not cheap,"[""it's"", 'true', 'this', 'place', 'is', 'not', 'cheap']",true place not cheap,true place not cheap
98,"The noise level was unbearable, conversation impossible.",0,the noise level was unbearable  conversation impossible,"['the', 'noise', 'level', 'was', 'unbearable', 'conversation', 'impossible']",noise level unbearable conversation impossible,noise level unbearable conversation impossible
99,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",0,when we stumbled on leon  we thought that we had found quite the gem but  we were certainly wrong,"['when', 'we', 'stumbled', 'on', 'leon', 'we', 'thought', 'that', 'we', 'had', 'found', 'quite', 'the', 'gem', 'but', 'we', 'were', 'certainly', 'wrong']",stumbled leon thought found quite gem but certainly wrong,stumbled leon thought found quite gem but certainly wrong
100,Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,0,instead of wasting your time here: support restaurants that care about food,"['instead', 'of', 'wasting', 'your', 'time', 'here:', 'support', 'restaurants', 'that', 'care', 'about', 'food']",instead wasting time here: support restaurant care food,instead wasting time here: support restaurant care food
