,corpus,val
233,rice poor quality and cooked badly hard,0
234,surprised say least and find practice not worth effort,0
235,also very limited seating and substantial wait getting food peak time,0
236,big disappointment around,0
237,no free drink,0
238,definitely highly not recommended,0
239,not waste money decor,0
240,given incredible architecture surrounding place no character,0
241,want save money not go,0
242,shame nice convenient place like pink pony ruined lousy service,0
243,first time citysearch did't call right,0
244,porcini mushroom pasta special tasteless seafood tagliatelle,0
245,eaten many pizza place around nyc and hand worst,0
246,dry and disgusting not even finish first piece,0
247,and price way high get,0
248,skip baroanda street (eurotrashy snooty and expensive) and check place,0
249,skip location and go one soho,0
250,staff ignored friend and entire time,0
251,yet paired rude service would never recommend anyone interested carrying kind conversation,0
252,need least three roll full and least $14 00,0
253,anyone ever dined thai restaurant huge disappointment,0
254,hot dog cold middle and bun stale,0
255,sad read bad review place got,0
256,avoid place,0
257,looked like shredded cheese partly done - still strip,0
258,based visit month ago returned week christmas and hugely disappointed,0
259,not food not ambiance not service agree previous review wait and wait wait staff very rude and get looking get right,0
260,pizza delivered cold and cheese not even fully melted,0
261,could rate people place would chart - unfortunately - pizza sorry - not best nyc,0
262,many good restaurant uws not need overpriced food absurdly arrogant wait-staff not recognize work glorified diner clumsy service and management not care,0
263,favorite chinese food general tao chicken not place,0
264,filled suit though never really feel terribly comfortable,0
265,waiter tend forget drink completely food portion tiny two people trouble sharing one entree,0
266,hate,0
267,but thing wife and hated loud and felt like 'bar' 'pub',0
268,priced upper intermediate range,0
269,live new york city find better food small restaurant outside time square and spend half amount,0
270,husband made excuse leave,0
271,not know think but no respect resident neighborhood ever since opened cabaret next door and blast loud music till three morning every weekend summer,0
272,ordered crab cocktail and soaked lime juice concoction could taste lime,0
273,not even table hour total,0
274,reading post always skeptical go minnow despite living park slope,0
275,turkey burger not cooked friend salmon completely raw,0
276,not corner chinese food takeout,0
277,told u sit anywhere and sat said table reserved,0
278,crispy chicken not u though,0
279,place amazingly bad,0
280,I several place dim sum and got worst,0
281,people restaurant pretty obnoxious and loud,0
282,sandwich dry tasteless and way overpriced,0
283,problem that-it sometimes kind affair,0
284,made dining experience uncomfortable,0
285,still stay away table next u walked table and another serf eventhough much longer,0
286,go back but sate homesick stomach craving,0
287,very disappointed restaurant,0
288,and conclusion culinary nightmare check given table knocking glass water,0
289,space bit small live music jazz night loud and cramped,0
290,never back,0
291,entree bland and small dessert not inspired,0
292,oh and tiny family stroller,0
293,pad thai lad nar and various dish look good paper but I better thai food le asthetically pleasing place,0
294,pizza little soggy,0
295,singapore mai fun no curry flavor whatsoever,0
296,problem manager complete incompetent,0
297,dirt top can soda,0
298,I still mad pay lousy food,0
299,decent thai food cute - though bit dank - little nolita hangout but service terrible,0
300,waiter actually poured water hand and walked away,0
301,worse $60 erroneously added $80 bill,0
302,cold enjoy,0
303,no reservation expensive tip and annoying stuff,0
304,sushi not anything spectacular price,0
305,but not toaster strange,0
306,menu choice similar but taste lacked flavor looked,0
307,main course decidedly subpar,0
308,someone else recommended dessert - also left,0
309,vegetarian really not good place go,0
310,not ordinary and beef version cheap (undercooked) beef,0
311,got club soda filled ice no lime,0
312,knowledge chef and waitress average,0
313,say never disappointing meal,0
314,disappointing food lousy service,0
315,price and small portion,0
316,waiter stepped foot second time reached adjust lighting,0
317,but thai definitely not great -- bland and indistinguished,0
318,service not one would expected,0
319,not think would go,0
320,and no mean feat,0
321,wish would change back,0
322,no pizza 33,0
323,noted crossed bill,0
324,needle say I never going back and should wary,0
325,server make feel like favor bring food,0
326,problem since paid 20 buck dish and order 5 dish get decent taste,0
327,rip-off ($8 95 four small meat patty steamed buns) and not worth trying,0
328,first took u long time find place,0
329,food and ambiance and imagine dreadful listen idle engine,0
330,immediately paid waiter took money and said okay guy outta,0
331,menu nothing like one website,0
332,ive asked cart attendant lotus leaf wrapped rice and replied back rice and walked away,0
333,sea become popular let go head,0
334,waitstaff very busy not outstanding service but I never dealt rudely,0
335,not worth,0
336,also bit hassle get without car (i happen live inwood),0
337,not waste time money,0
338,not concern much customer's health want make money,0
339,could not carry conversation routinely interrupted waitress and servant asking u order and hinting taking much time -- amazing sat,0
340,ate kai and disapointed,0
341,complaining chicken dish manager came tell u no one ever complained and not know dish supposed taste like,0
342,not understand hype,0
343,bartender unable tear away friend bar,0
344,anyways neighborhood eat good food would not waste time trying find something rather go across street tamari,0
345,not get either,0
346,like took leftover chicken poured oil and sprinkled pepper powder (the sauce translucent and red),0
347,one would think would get apology complimentary drink - instead got snobby waiter would not even take order 15 minute and gave u lip asked,0
348,brought glass and bottle and left bottle table,0
349,stay far away place,0
350,would go back,0
351,not worth price,0
352,service and food one would expect spending type money,0
353,menu changed portion even smaller lentil dish salty beyond edibility basmati rice dish lacked flavor,0
354,go somewhere else,0
355,look elsewhere,0
356,seriously doubt ever dine jimmy's bronx matter jimmy's uptown,0
357,co-worker wait almost hour delivery discover got not ordered,0
358,got something not order,0
359,real dissapointment,0
360,people rave ambience,0
361,charge le portion,0
362,people charge lot le,0
363,not upto hype,0
364,perhaps food considered extreme upper east side resident but rest u actually eaten ethnic food simply dull,0
365,but compared nearby joint horrible useless not worth,0
366,but whatever reason price twice high,0
367,relatively new area and tried pick bagel 2nd and disappointed service and thought food overated and pricey side,0
368,unpleasant experience restaurant,0
369,odd group people,0
370,not consistent,0
371,but not icing cake: tiramisu resembled nothing ever,0
372,drink got screwed acted put upon,0
373,but pizza way expensive,0
374,however work dinner not long ago colleague london noticed very large waterbug ceiling,0
375,enough said,0
376,chow fun and chow see really bland and oily,0
377,food bland and oily,0
378,food bland well oily,0
379,chicken bland,0
380,chicken lollipop oily,0
381,notice however table looked like pita instead naan,0
382,grilled cheese home afterwards better,0
383,finally seated waitress came twice-1 order and 2-for check,0
384,wait bar approx two hour,0
385,charge different price time,0
386,obvious no one restaurant idea experience japanese cuisine,0
387,term food -- nothing special limited several appetizer,0
388,asked certain dish prepared comparison similar thai restaurant replied not mcdonald's every place make thing differently understandable every place indeed different not need uncourteous customer and downright rude,0
389,not expect sit inside though table and always full,0
390,manager claimed could not compensate u anything bill show lack sophistication entire group,0
391,but far east,0
392,but looked menu not lot choice dumpling appetizer section,0
393,maybe say looked promising people like artery-clogging jewish deli food but turn poorly run and awful,0
394,3rd time manager remembered and treated like usual customer,0
395,could get toaster,0
396,decor really blah and not hip happening,0
397,appears owner's first venture and show great promise,0
398,ordered beef and noodle soup dish thai section menu but nothing got thai,0
399,worst excuse japanese food I ever encountered,0
400,million better place go city,0
401,okay-i not mind oily part (cause cooked way) but way bland,0
402,ordered chicken teriyaki dish and found chicken extremely dry,0
403,reservation 9pm but not seated 10:15pm,0
404,no excuse lousy service,0
405,three strike and restaurant,0
406,not enough wine glass either,0
407,not take seat bar and back half restaurant saw woman get nudged 40times sitting,0
408,no ture promise made,0
409,one should not go lucky strike food,0
410,service awful,0
411,time waited well half hour table (even though reservations),0
412,last memorial day tried make reservation but told closed weekend (interesting but ),0
413,night but hard hear conversation everyone else competing luxury - music playing background also voluminous,0
414,not thai,0
415,could drank 4 glass water and still parched - watch,0
416,go girl perfect place,0
417,forgot sandwich not include plastic fork and not include pita hummus platter,0
418,asian fusion many place downtown,0
419,service poor restaurant poorly lit staff not very attentive and would rather eaten mcdonald's joint,0
420,number 1 place alot work order truly earn called reputation,0
421,I several time and totally smitten,0
422,terrible experience,0
423,service slow wait order and get food although not crowded,0
424,food average service pathetic no ambience,0
425,one definitely least favorite,0
426,$160 2 filet 2 side appetizer and drink super expensive,0
427,left 8:00 pm packed and noisy,0
428,worker ignore and talk female customer time skipped order,0
429,visited orsay ny restaurant week and tried expensive menu,0
430,would never go back,0
431,three u arrived dinner 5:30 week night without reservation place close,0
432,money could easily better spent elsewhere (anywhere),0
433,drawback - not toast bagel and not make egg bagel,0
434,many drawback food service location,0
435,cornelia street look like broadway set west side story and inside po cool quaint really cannot top setting romantic dinner nyc,0
436,like others said not expect restaurant make night romantic and yes busy restaurant may require wait,0
437,also thin get cold very quickly and not filling,0
438,food nothing like menu description,0
439,however not understand extraordinary hype restaurant,0
440,food absolutely horrible,0
441,restaurant dirty and unkempt,0
442,drink way priced,0
443,main downside place nazi-like guy running constantly complains noise level,0
444,not like food came right ordered,0
445,but warning: use site weary very weary recommendation,0
446,sorry cannot rate better,0
447,food good ambience worse service worst,0
448,however service plain sesame crusted salmon,0
449,food mediocre best but horrible service made vow never go back,0
450,place should also low rating authentic,0
451,service terrible wait everything and ask several different people thing allowed served,0
452,went last thursday came home frustation,0
453,ordered dessert and drink but no refill offered,0
454,always say not customer,0
455,instead order something else might feel good,0
456,never brought u complimentary noodle ignored repeated request sugar and threw dish table,0
457,kitchen however almost always slow,0
458,people rude bit new york,0
459,service also horrible and ambience not great,0
460,pizza overpriced and soggy,0
461,pay least double italian restaurant city and still not compare,0
462,quality food little expensive,0
463,horrible,0
464,here's fake concern,0
465,please go different place,0
466,portion size small,0
467,nothing special place,0
468,cannot stay long time depressing,0
469,staff unwelcoming,0
470,vibe restaurant unwelcoming,0
471,definitely not worth price,0
472,definitely not worth hype,0
473,pay,0
474,end paying and,0
475,price $9 entree dinner and even le lunch,0
476,but would not wanna live,0
477,price high cramped and unappealing resturant,0
478,rarely visit,0
479,tuk tuk one rare choice go brooklyn,0
480,everything soft bread soggy salad and 50 minute wait time incredibly rude service deliver average food,0
481,bread stale,0
482,food soggy,0
483,menu price bit expensive get quality and portion size,0
484,(food delivered busboy not waiter) got no cheese offered pasta water and wine glass remained empty entire meal would easily spent another $20 wine,0
485,food not fresh sauce bland and very oily,0
486,could pricey without prix fixe meal,0
487,zero ambiance boot,0
488,got little loud 8pm joint got full,0
489,cannot think anything positive place,0
490,cannot think anything positive place,0
491,soon father lifted pen check chef appeared usher u,0
492,disappointment coat check girl not seem know customer realtively non-busy night (for coat check girls),0
493,food served cold,0
494,even prix fixe pricing restaurant not worth,0
495,asked moved (which took half hour) and seated high traffic area back even though rest room practically empty,0
496,halibut salty dessert (don't waste calories) and service poor,0
497,ordered chicken casserole but got small piece chicken dark meat and bone,0
498,bit breezy mezzanine wind coming track,0
499,around block say very least,0
500,not mind pre-sliced low quality fish unfriendly staff and sushi chef look like miserable place,0
501,food ok - nothing spectacular - but service awful,0
502,many choose wandered and street looking window and noticicing many empty seat except taj mahal,0
503,also not plan asking favorite roll not menu cannot,0
504,and saying lot,0
505,roll big but not good and sashimi not fresh,0
506,thing could get attention one least two cat running around kept batting table,0
507,consider food companion trip across world,0
508,food good not great not worth wait another visit,0
509,actually gave patroon another chance writing but second visit even worse,0
510,little pricey,0
511,staff not friendliest competent and stickler service,0
512,restaurant way overhyped,0
513,I overheard comment employee should not delivered dining area and I sitting lectured another customer,0
514,cannot imagine not rushing eat,0
515,worst dining experience I ever,0
516,bring someone speaks cantonese waiter may not understand,0
517,thought died and gone heaven,0
518,food okay nothing great,0
519,every waitress and customer passed bumped chair,0
520,omakase showcase technique and variety serving almost 40% item bbq-ed and spicy tuna roll wrapped not-so-fresh nori seems rather limp performance,0
521,someone appreciates thing but hope food spare share kai may not best option,0
522,chocolate sampler rich and dessert wine far sweet,0
523,cannot ambience place very cramped and guest sit aisle,0
524,disappointed pre-fixe menu 2 choice per course (other restaurant offer 3 choices) and ended ordering la carte,0
525,entree hot pot seafood full imitation crabmeat couple piece shrimp and squid and unnecessarily heated burner,0
526,began cheese fondue (the artisanal blend) and added apple and kielbasa dip,0
527,not curry slurry crap and regular run mill food,0
528,fact leaving place saw two people looking menu and could not help telling food horrible,0
529,delivery time little slow,0
530,food however one might expect,0
531,must give yon yon star,0
532,possible drawback last point date posting additional menu item written chinese,0
533,food average and would say even chain restaurant baluchi's taste better,0
534,place small and cramped,0
535,bartender recent visit incredibly rude never go back,0
536,authentic thai food look no toon,0
537,highlight night mayonaisse side fry received one food runner not good considering bill nearly $100,0
538,never,0
539,concern slighly all-business waitstaff order and throw food rushing,0
540,park avenue expected much,0
541,small serving main entree salmon (wasnt impressed) girlfriend chicken good,0
542,rude,0
543,much better place ny better price,0
544,I waited one hour food,0
545,time extremely dissappointed service boarderline rude,0
546,stay away latter since not go second (hint hint),0
547,price and quality fish alone keep u making return visit,0
548,fish not fresh and rice tasted old and stale,0
549,considering price $6 25 lunch special dish ridiculously small,0
550,besides bad service le money tip,0
551,not need go four-star restaurant anymore,0
552,compared ess-a tal offer le doughy bagel,0
553,service attentive yet discreet,0
554,price and dressed atmosphere expect and should get,0
555,answer phone lucky not hang,0
556,unless eating pizzeria side place and not rush place bad idea,0
557,increase service lot,0
558,ambiance barely romantic but management try,0
559,very abrupt called and actually claimed food late rice,0
560,got sashimi order could not believe small portion,0
561,main course came not see waiter least 40 minute,0
562,list next visit nyc,0
563,nothing better buying snapple $3 25,0
564,dosas skimpy unattractive and drip grease and personally I would drink popcorn topping I would eat another one,0
565,wanted deal crappy scene and annoying customer I would go manhattan,0
566,seafood craving checked citysearch and chose go fish based previous review and citysearch info,0
567,realize five minute meaningless and wait may anywhere two twenty minute may frustrating,0
568,mussaman curry ordered thin water and aside poorly fried tofu ordered graciously provided one piece poorly cooked potato,0
569,well place ghetto not even funny,0
570,know case many nyc eatery but really cram point borderline uncomfortable,0
571,overall disappointing experience price category,0
572,le impressed,0
573,thai restaurant rice dinner?,0
574,but still date bad,0
575,1 appetizer 2 entree and 2 coke and bill ~$55 00 not including tip,0
576,really takeaway place would not sit could take home,0
577,slightly average wine start $70+ one selection listed $30+,0
578,nobody restaurant give firm answer anything and end not one person take responsibility anything,0
579,chicken parm edible but canned tomato sauce and boxed pasta and chicken portobello mushroom consisted dry inedible chicken terrible sauce,0
580,friendly staff member guy bar,0
581,not cannot not service directory,0
582,cannot imagine friendlier staff working restaurant,0
583,suggest ask seated upstairs looking little cozy,0
584,red curry weak and tasteless pad thai stuck together and lumpy rice often overcooked and seafood pretty sketchy,0
585,like cafe noir dont get wrong people work evil and incompetent,0
586,hanger steak like rubber and tuna flavorless not mention tasted like thawed,0
587,but $1 small piece???,0
588,not great place family general dining,0
589,bar another bad idea,0
590,bagel fine but little overcooked and not really 'special' bagel experience,0
591,unlike hh block place actually give hearty and hot bagel town known,0
592,thought going jimmy would give real domincan exprience,0
593,worker also absolutely load bagel cream cheese (gets little messy),0
594,no plan return anytime soon,0
595,not understand fuss,0
596,meat dish so-so,0
597,untrendy rip-off- eat,0
598,and hungry hour later,0
599,hate hate hate place,0
600,service always bad though not expect much anything server and would not recommend bringing date either,0
601,took 15 minute put water glass,0
602,thali small thoroughly unremarkable and $14 95,0
603,makhani ok --the korma bland,0
604,food inventive but still keep traditional indian flavoring,0
605,actually left hungry and went across street wo hop 15 mott street good chinese food,0
606,whole set truly unprofessional and wish cafe noir would get good staff despite current one great place,0
607,service sometimes lack focus and not ideal hurry but never treated rudely,0
608,reservation eat deal however -- choice fairly limited and probably order food eat le $18 going menu,0
609,wont come back sure,0
610,went utsav yr ago family,0
611,place not compare mamoun's term price freshness value and consisent quality but opinion,0
612,told party three would seated 10 minute and watching party (multiples 2 and higher) seated 40 minute three u squished small 2-person table,0
613,and bill outragous,0
614,skip dessert,0
615,spent $200 place and left hungry and very disappointed,0
616,complete total bagel experience lightly toasted,0
617,liked place first time but doubt ever return,0
618,skip restaurant big disappointment,0
619,stick chicken beef and lamb dish,0
620,service bad food took forever come sat upper level,0
621,bottom line: b+ food f service,0
622,thing waiter not wipe chin leave,0
623,place avoided,0
624,stick dimsum not super overpriced noodle,0
625,sister say reminds restaurant run high-school student not know,0
626,four u arrived noon - place empty - and staff acted like imposing and very rude,0
627,6:30 third party,0
628,no really,0
629,hot and sour soup unbearably hot and tasted pepper and nothing else,0
630,amma nothing special,0
631,yeah shanghai also great but not quite good -- use amount salt but without sweetness balance,0
632,believe u eating sushi 15 yr,0
633,done and new york not big deal,0
634,english speaking staff,0
635,food boring and expensive,0
636,week back and worst customer service experience restaurant ever,0
637,(i've ordered 2nd ave,0
638,nothing good sale call but tactic amma obvious,0
639,took mom mother's day and maitre d' pretty rude,0
640,however spent overall not par,0
641,remember later go longer may wait,0
642,not go back unless someone else footing bill,0
643,street look very hidden and actually old warehouse,0
644,would not mind going back time but not trying others nearby,0
645,stay away two specialty roll menu though- much avocado and rice fill right quick,0
646,not get drink refill and not even offer u option dessert,0
647,jimmy dominican,0
648,neighborhood nice though check another restaurant instead,0
649,search authentic nyc deli experience look no famous and historic katz's deli lower east side,0
650,everything sale including sculptured iron statue table,0
651,entire place and treatment received felt conveyor belt,0
652,reality felt gotten air france and 8th district paris,0
653,yeah crowd take bit seriously but should not,0
654,still living dark age and not answering machine want make reservation limited,0
655,lobster bisque 2 oz maine lobster,0
656,indian and tried many indian place ny,0
657,bad actually refused pay food,0
658,fan thai tried quite different restaurant nyc and one definitely worst,0
659,took five minute get empty table but standing not bad,0
660,bad latin quarter closed,0
661,scrapped bottom vessel make rice -result - large chunk burnt rice serving bowl,0
662,would never wait table eat not great,0
663,counter service bad,0
664,and thouroughly disapointed,0
665,pay lot decore but food no better worse lot chinese and asian fusion place ny,0
666,oh but wait drink (which also delightfully overpriced),0
667,avoid cost,0
668,lamb meat under-cooked and extrmely chewy,0
669,time food quality decreased substantially lot le crowded used and service must definitely part reason,0
670,seated outside and waiter spilled red wine and hot tea and date,0
671,would ask no oil next time,0
672,went lunch and not good expected review read,0
673,wine list not great and dessert shipped bruno's street not good used,0
674,ordered lassi and asked 4 time but never got,0
675,would not recommend place anyone,0
676,despite fact space large overcrowded floor table,0
677,not helpful least and give grand run around time event date roll around not regret chosing place but also become hostile,0
678,ask three time finally came back dish ive requested,0
679,restaurant snob need not bother small neighborhood kind place,0
680,could not even make salad appealing,0
681,and I many nyc deli,0
682,much time seems like not care,0
683,not sure would call food indian fusion seems french indian exotic touch,0
684,I eaten thai many time and very familiar cuisine,0
685,sake list extensive but looking purple haze not listed but made u upon request,0
686,table crammed way close menu typical italian restaurant and wine list simply overpriced,0
687,food actually aweful,0
688,furthermore rice no seasoning sushi bland and disgusting,0
689,sushi average and price anything but,0
690,turned full service upstairs and sat,0
691,several dim sum order 6-8 piece,0
692,three page wine menu one page entree and horedevous,0
693,waiter and owner nonchalant and promised call exterminator but not dismayed apologetic would expected,0
694,I lived nyc life and never seen many waterbugs one place (except really bad dream),0
695,host asked appetizer group and waiter gave u not ordered but item not ordered,0
696,course past 3 month chef and staff changed and not better,0
697,overall not worth money,0
698,place not worth price,0
699,left one drink,0
700,everything happened not even mediocre,0
